date,open,high,low,close,volume,vwap
2023-11-27,184.15,185.465,183.82,184.4,4210093.0,184.6565
2023-11-28,183.78,185.24,183.78,184.75,5506169.0,184.4277
2023-11-29,186.1,186.9,184.775,184.89,5382712.0,185.4719
2023-11-30,185.66,185.91,183.61,185.16,6872004.0,184.4585
2023-12-01,184.68,185.91,183.79,185.58,6996055.0,185.1179
2023-12-04,183.73,183.73,181.32,183.32,9110927.0,182.8007
2023-12-05,182.34,184.63,182.34,184.42,5420665.0,183.932
2023-12-06,185.57,185.84,182.72,182.86,7365673.0,183.9859
2023-12-07,183.73,185.39,183.34,185.08,6964403.0,184.6473
2023-12-08,184.68,186.81,184.45,186.66,6404425.0,185.9839
2023-12-11,186.11,188.33,185.68,188.29,18897692.0,187.414
2023-12-12,187.6,189.6,187.44,189.54,7527695.0,188.7824
2023-12-13,189.99,191.67,189.54,191.21,14697497.0,190.7
2023-12-14,191.36,192.08,189.33,190.74,7713721.0,190.9201
2023-12-15,190.54,192.8,190.54,191.7,9065696.0,191.9806
2023-12-18,191.24,192.28,190.43,191.85,5069188.0,191.5299
2023-12-19,191.81,192.6,191.7,192.58,4501836.0,192.162
2023-12-20,192.36,193.04,189.64,189.67,6867447.0,191.4362
2023-12-21,191.6,192.23,190.19,191.8,5667974.0,191.1371
2023-12-22,192.35,192.61,191.1,192.05,5107708.0,192.1191
2023-12-26,192.17,193.245,192.17,192.85,3103779.0,192.7402
2023-12-27,192.95,193.24,192.02,192.84,5882284.0,192.6416
2023-12-28,193.52,193.72,192.975,193.07,4807676.0,193.2693
2023-12-29,193.17,193.5599,191.52,192.48,6095325.0,192.4914
2024-01-02,189.86,190.16,186.25,187.44,11772734.0,187.8776
2024-01-03,185.73,186.75,185.2,185.53,9095023.0,185.7859
2024-01-04,184.39,185.665,183.99,184.17,6063648.0,184.7453
2024-01-05,184.38,185.71,183.42,184.12,8175261.0,184.3109
2024-01-08,185.05,188.87,184.86,188.74,8217331.0,187.6109
2024-01-09,187.29,189.58,186.89,189.04,5316949.0,188.5628
2024-01-10,189.13,191.06,188.73,190.65,4892717.0,190.0428
2024-01-11,191.59,192.55,188.93,191.62,6648510.0,190.8184
2024-01-12,191.93,192.68,191.28,192.24,4417318.0,192.0161
2024-01-16,192.0,193.525,190.89,192.72,5887802.0,192.401
2024-01-17,191.29,192.0,189.69,191.77,7054480.0,191.0193
2024-01-18,194.33,195.835,193.6,195.66,9459365.0,194.903
2024-01-19,196.94,200.21,196.51,200.17,9166572.0,198.5753
2024-01-22,201.15,202.28,200.29,201.05,7484461.0,201.2141
2024-01-23,201.24,201.99,200.07,201.86,6631913.0,201.1897
2024-01-24,203.25,205.29,202.67,203.25,8825613.0,203.9654
2024-01-25,205.12,206.145,203.155,204.1,8535747.0,204.6116
2024-01-26,202.67,203.565,201.29,201.75,5276594.0,202.3077
2024-01-29,202.0,203.64,201.6,203.6,3819797.0,202.6025
2024-01-30,203.53,203.84,201.3,201.92,6125754.0,202.3661
2024-01-31,200.0,200.82,197.58,197.68,8147604.0,198.847
2024-02-01,198.47,200.445,198.34,200.17,7151744.0,199.4884
2024-02-02,198.81,202.88,198.745,202.24,6436276.0,201.566
2024-02-05,203.06,203.28,200.8,202.7,5043254.0,202.3524
2024-02-06,202.92,203.27,200.47,201.77,6338558.0,201.4963
2024-02-07,203.19,204.49,202.38,204.44,5682944.0,203.8977
2024-02-08,204.79,205.63,204.54,205.08,4974094.0,205.1288
2024-02-09,205.94,208.11,205.7,207.84,5806126.0,207.3275
2024-02-12,207.83,208.47,205.96,206.26,5376616.0,207.0887
2024-02-13,201.79,204.12,201.175,202.76,9729671.0,202.5043
2024-02-14,204.27,205.04,202.83,204.88,5895840.0,204.1319
2024-02-15,205.15,205.35,203.31,204.45,5398195.0,204.1457
2024-02-16,205.0,205.41,202.295,202.57,5545209.0,203.5012
2024-02-20,201.38,202.1,198.5,200.51,8723793.0,199.7546
2024-02-21,198.57,199.25,197.07,199.25,7983179.0,198.2432
2024-02-22,204.4,206.325,203.93,205.77,9275849.0,205.265
2024-02-23,207.4,207.66,204.64,205.29,6161970.0,205.8618
2024-02-26,206.19,206.7,205.28,205.49,9124442.0,205.8875
2024-02-27,206.05,206.05,204.14,205.67,4992227.0,205.309
2024-02-28,204.99,205.26,203.9599,204.7,4164540.0,204.5864
2024-02-29,205.79,207.465,204.64,206.98,5993373.0,206.379
