date,open,high,low,close,volume,vwap
2023-11-27,168.34,169.39,167.62,168.51,3649831.0,168.73
2023-11-28,168.31,169.57,167.39,169.48,5986961.0,168.9391
2023-11-29,170.74,171.6,168.895,169.02,3829708.0,169.943
2023-11-30,169.02,169.09,167.46,168.78,6511535.0,168.3374
2023-12-01,168.06,171.14,167.73,171.09,7477855.0,170.1394
2023-12-04,169.85,171.18,169.435,170.44,9238805.0,170.4091
2023-12-05,169.52,172.43,169.38,170.74,3911290.0,171.0285
2023-12-06,172.02,172.86,170.86,170.99,6114110.0,172.025
2023-12-07,171.68,172.71,171.13,172.4,3690081.0,172.1903
2023-12-08,171.53,173.52,171.4,173.19,4048343.0,172.8242
2023-12-11,172.99,173.865,172.46,173.65,9446152.0,173.4322
2023-12-12,173.46,174.31,172.77,174.19,3705745.0,173.5186
2023-12-13,174.13,176.6625,172.77,176.47,5449219.0,174.8894
2023-12-14,178.01,179.55,177.33,178.84,7644484.0,178.5783
2023-12-15,178.88,179.65,178.29,179.21,5629200.0,178.9915
2023-12-18,179.46,180.57,179.1,180.0,3859705.0,180.085
2023-12-19,180.61,181.88,180.57,181.41,3597064.0,181.2096
2023-12-20,180.6,182.19,178.06,178.1,4310799.0,180.0563
2023-12-21,179.98,180.865,178.97,180.81,3927463.0,179.9347
2023-12-22,180.09,180.86,178.74,179.48,4261486.0,179.839
2023-12-26,179.88,180.47,179.53,180.24,2740381.0,180.09
2023-12-27,180.47,181.33,180.38,180.86,3747954.0,180.7725
2023-12-28,181.12,181.46,179.78,179.92,2804495.0,180.4253
2023-12-29,179.99,180.29,178.2,178.81,4134338.0,179.0152
2024-01-02,178.25,178.33,176.465,177.15,7684781.0,177.4048
2024-01-03,175.97,176.06,173.5,173.57,7761426.0,174.4553
2024-01-04,172.87,174.49,172.29,172.35,5957540.0,173.106
2024-01-05,171.91,174.03,171.84,172.62,6042422.0,172.9056
2024-01-08,172.92,175.76,172.875,175.56,4071330.0,174.4935
2024-01-09,174.28,175.155,173.83,174.91,4165030.0,174.6122
2024-01-10,175.18,176.735,175.14,176.31,3812219.0,175.9899
2024-01-11,176.11,176.665,174.24,176.08,4296029.0,175.4205
2024-01-12,175.35,176.15,173.63,173.96,3722220.0,174.4902
2024-01-16,172.91,174.44,172.4,173.76,4488088.0,173.4932
2024-01-17,171.93,172.3,170.96,172.24,3980924.0,171.8114
2024-01-18,173.06,173.43,171.32,173.22,4963099.0,172.7326
2024-01-19,173.49,175.2402,172.45,174.89,4891519.0,173.9757
2024-01-22,175.27,175.77,173.34,174.12,5592145.0,174.3042
2024-01-23,174.29,174.87,172.82,173.7,3553645.0,173.6476
2024-01-24,174.85,175.03,172.905,173.04,4311139.0,173.9239
2024-01-25,171.41,171.55,169.7246,170.9,5546356.0,170.671
2024-01-26,171.63,172.55,171.03,171.68,3488918.0,171.7506
2024-01-29,172.03,174.22,171.73,174.19,3690608.0,172.9704
2024-01-30,174.48,174.92,173.76,174.09,3137395.0,174.3197
2024-01-31,172.98,173.91,170.77,170.92,6831913.0,172.4269
2024-02-01,171.72,174.255,171.12,174.21,7341164.0,172.828
2024-02-02,175.4,178.04,174.56,177.32,10381982.0,176.446
2024-02-05,175.5,175.5,172.76,174.82,6673081.0,174.3291
2024-02-06,174.07,175.915,174.07,175.88,4686799.0,175.3352
2024-02-07,176.86,178.51,176.44,177.85,3898241.0,177.7627
2024-02-08,177.97,178.74,177.63,178.63,4049991.0,178.3534
2024-02-09,178.48,180.19,178.07,179.9,4792193.0,179.3261
2024-02-12,179.96,180.88,179.41,179.75,3020080.0,180.1747
2024-02-13,176.13,177.165,175.23,176.17,7400748.0,176.1312
2024-02-14,176.84,178.11,175.87,178.03,5780471.0,177.1564
2024-02-15,178.39,180.1,177.92,180.09,5283898.0,179.2626
2024-02-16,179.31,180.07,177.92,179.02,4256173.0,179.1495
2024-02-20,177.38,178.01,176.21,177.33,4378184.0,177.0581
2024-02-21,177.91,179.48,177.47,178.64,4443120.0,178.347
