date,open,high,low,close,volume,vwap
2023-11-27,147.53,149.26,146.88,147.73,53762428.0,148.2873
2023-11-28,146.98,147.5999,145.53,147.03,42711682.0,146.8346
2023-11-29,147.85,148.54,145.97,146.32,40610907.0,146.8633
2023-11-30,144.76,146.93,144.332,146.09,65814022.0,145.7585
2023-12-01,146.0,147.245,145.55,147.03,39951833.0,146.6909
2023-12-04,145.25,145.35,142.81,144.84,48294244.0,144.4521
2023-12-05,143.55,148.57,143.13,146.88,46822411.0,146.6481
2023-12-06,147.58,147.85,144.28,144.52,39678960.0,145.5034
2023-12-07,146.15,147.92,145.34,146.88,52352830.0,146.7179
2023-12-08,145.48,147.84,145.4,147.42,41905965.0,146.9405
2023-12-11,145.66,146.19,143.64,145.89,50907288.0,145.3001
2023-12-12,145.52,147.5,145.3,147.48,44944264.0,146.7466
2023-12-13,148.12,149.46,146.82,148.84,52766196.0,148.2608
2023-12-14,149.93,150.54,145.52,147.42,58400848.0,147.8687
2023-12-15,148.38,150.57,147.88,149.97,110089342.0,149.5349
2023-12-18,150.56,154.855,150.05,154.07,62512828.0,153.4071
2023-12-19,154.4,155.12,152.69,153.79,43171292.0,153.7217
2023-12-20,152.9,155.63,151.56,152.12,50322106.0,153.6876
2023-12-21,153.3,153.97,152.1,153.84,36305733.0,153.1091
2023-12-22,153.77,154.35,152.71,153.42,29514093.0,153.5444
2023-12-26,153.56,153.975,153.03,153.41,25067222.0,153.4082
2023-12-27,153.56,154.78,153.12,153.34,31434733.0,153.6438
2023-12-28,153.72,154.08,152.95,153.38,27057002.0,153.5269
2023-12-29,153.1,153.89,151.03,151.94,39823204.0,152.3275
2024-01-02,151.54,152.38,148.39,149.93,47339424.0,149.8527
2024-01-03,149.2,151.05,148.33,148.47,49425495.0,149.4058
2024-01-04,145.59,147.38,144.05,144.57,56039807.0,145.416
2024-01-05,144.69,146.59,144.53,145.24,45153147.0,145.4513
2024-01-08,146.74,149.4,146.15,149.1,46757053.0,148.3238
2024-01-09,148.33,151.71,148.21,151.37,43812567.0,150.6311
2024-01-10,152.06,154.42,151.881,153.73,44421830.0,153.4523
2024-01-11,155.04,157.17,153.12,155.18,49072691.0,155.0181
2024-01-12,155.39,156.2,154.01,154.62,40484155.0,154.8238
2024-01-16,153.53,154.99,152.15,153.16,41384636.0,153.1343
2024-01-17,151.49,152.15,149.91,151.71,34953363.0,151.2287
2024-01-18,152.77,153.775,151.82,153.5,37850245.0,153.1334
2024-01-19,153.83,155.76,152.74,155.34,51651628.0,154.6114
2024-01-22,156.89,157.05,153.9,154.78,43687468.0,154.9418
2024-01-23,154.85,156.21,153.93,156.02,37986039.0,155.3239
2024-01-24,157.8,158.51,156.48,156.87,48547315.0,157.4001
2024-01-25,156.95,158.505,154.5501,157.75,43638592.0,157.1518
2024-01-26,158.42,160.72,157.91,159.12,51047353.0,159.1848
