date,open,high,low,close,volume,vwap
2023-11-27,171.1767,173.03,170.75,171.5733,1816905.0,171.6149
2023-11-28,170.59,171.4733,169.2,170.57,1852329.0,170.3202
2023-11-29,172.985,175.01,172.13,172.42,3665757.0,173.7854
2023-11-30,172.69,172.8633,169.8367,171.2167,2419380.0,170.7247
2023-12-01,170.33,172.34,169.0,172.02,1719615.0,171.1911
2023-12-04,170.2667,170.4383,167.64,170.0933,1810533.0,169.3578
2023-12-05,168.4633,169.5767,167.7233,169.1267,2568435.0,168.8683
2023-12-06,171.5833,171.68,167.8867,168.0833,2683473.0,169.6462
2023-12-07,169.6667,173.1233,168.99,172.59,1916604.0,171.5972
2023-12-08,172.1833,174.7133,172.11,173.9533,4207278.0,173.6112
2023-12-11,175.5833,180.4467,175.3967,179.8867,3976989.0,178.6544
2023-12-12,178.98,181.21,178.6633,181.1833,2226591.0,180.4002
2023-12-13,181.21,185.0233,180.5367,183.9733,5724921.0,182.2775
2023-12-14,185.46,189.6067,185.46,189.0733,3372276.0,188.2995
2023-12-15,189.6267,191.91,189.3667,189.7767,3956073.0,190.3251
2023-12-18,189.7733,190.0867,187.5267,189.25,2272071.0,189.005
2023-12-19,189.52,190.6437,189.28,190.26,1910733.0,189.9657
2023-12-20,188.4667,189.5633,184.2567,184.2567,3355902.0,186.8619
2023-12-21,188.24,189.7033,187.3633,189.3567,2589246.0,188.577
2023-12-22,190.26,191.1,188.61,189.9633,2363532.0,190.1035
2023-12-26,190.8317,194.0867,190.8317,193.32,1906452.0,192.8396
2023-12-27,194.2033,194.5333,192.7467,193.8167,1877340.0,193.4287
2023-12-28,194.2667,194.6367,193.2,193.4533,1052982.0,193.8558
2023-12-29,193.4933,193.88,191.0,192.0333,1452366.0,192.2849
2024-01-02,188.7833,188.7833,183.5433,185.1167,3256689.0,185.9855
2024-01-03,181.8433,182.8733,180.4217,181.14,4069890.0,181.4298
2024-01-04,178.28,181.4433,177.88,179.6167,3737211.0,180.0419
2024-01-05,179.9533,182.2,179.385,180.6133,3889335.0,180.8027
2024-01-08,181.8567,186.9833,181.8067,186.4967,3202203.0,185.3068
2024-01-09,184.3933,187.9933,184.1167,186.56,2944254.0,185.9768
2024-01-10,186.9833,187.0233,183.5833,185.9333,2821653.0,185.3938
2024-01-11,186.1967,187.8333,182.9733,186.62,3692079.0,186.0341
2024-01-12,186.87,187.7767,184.8967,185.7967,2277042.0,185.9216
2024-01-16,186.0267,189.7033,185.07,188.43,4151376.0,187.9573
2024-01-17,186.5067,186.9233,183.5367,186.7033,4970886.0,185.0867
2024-01-18,191.8867,193.12,189.81,192.8667,3552084.0,192.1727
2024-01-19,195.2967,200.67,194.3033,200.41,5326827.0,197.7423
2024-01-22,202.07,203.6933,199.2233,201.0667,5288418.0,201.1434
2024-01-23,201.14,202.6417,199.23,202.4,3282057.0,201.366
2024-01-24,204.7367,208.0767,203.1333,205.3467,6283887.0,205.6786
2024-01-25,209.1267,209.2633,203.7433,204.7767,3916932.0,206.4955
2024-01-26,200.5867,201.95,198.567,199.2567,5781336.0,200.0418
2024-01-29,199.65,201.33,198.19,201.33,3467538.0,199.5423
2024-01-30,200.1267,201.3533,197.3933,198.22,3059127.0,199.2342
2024-01-31,195.14,198.9233,193.6067,195.35,6574167.0,195.5585
2024-02-01,196.14,196.8033,193.745,196.3167,3464106.0,195.4291
2024-02-02,196.31,199.2833,195.7767,198.8233,4801092.0,197.9423
2024-02-05,200.52,202.5433,198.31,201.54,4735152.0,200.8599
2024-02-06,202.11,202.2667,196.9533,199.19,3623901.0,199.1984
2024-02-07,200.6,202.428,198.5133,202.2367,4839426.0,201.1256
2024-02-08,202.8733,207.2,202.7967,205.7133,2760786.0,205.4967
2024-02-09,206.9667,210.1433,205.75,209.81,3519435.0,208.8877
2024-02-12,209.8333,213.305,208.5867,209.43,4300008.0,210.7497
2024-02-13,203.3567,207.3467,202.3667,205.1267,6551346.0,204.9658
2024-02-14,207.7567,209.8667,206.8533,209.76,3236382.0,208.816
2024-02-15,211.1233,211.38,208.63,209.56,2845440.0,210.0608
2024-02-16,211.1333,212.75,207.755,208.3733,4103559.0,209.8783
2024-02-20,206.42,207.16,201.71,204.8667,5547591.0,203.9273
2024-02-21,202.55,204.4467,201.48,204.3967,4487538.0,202.8577
2024-02-22,212.4433,215.6267,211.5033,214.47,6676380.0,213.5915
2024-02-23,215.55,216.66,211.0267,212.1567,5105160.0,213.6099
2024-02-26,214.2967,215.2067,212.76,214.25,3758934.0,214.3943
2024-02-27,215.2833,215.8333,213.4833,214.0367,4560882.0,214.7465
2024-02-28,211.6667,212.76,210.6367,211.63,2923704.0,211.7053
2024-02-29,214.2533,217.8,213.5817,217.3633,3382896.0,215.7629
2024-03-01,219.8767,227.59,219.6267,226.6133,6122886.0,224.1694
2024-03-04,229.1267,231.3433,227.5767,228.84,7328460.0,229.6428
2024-03-05,226.0733,227.6433,221.8933,224.3533,7260072.0,224.4879
2024-03-06,229.0267,232.2833,227.3133,229.8667,5531679.0,229.8995
2024-03-07,232.79,238.705,232.6505,237.75,4799639.0,236.4944
2024-03-08,238.55,240.01,227.97,228.13,10483034.0,233.4825
2024-03-11,225.5,226.79,222.52,225.1,4499778.0,224.6987
2024-03-12,227.98,229.89,223.99,229.77,3598410.0,227.4745
2024-03-13,227.05,227.37,222.81,224.17,3264589.0,224.8512
2024-03-14,223.57,224.84,218.12,220.34,4662092.0,220.8302
2024-03-15,217.4,221.37,217.1,218.76,4105300.0,219.334
2024-03-18,222.5,223.34,218.37,218.59,3143257.0,220.4043
2024-03-19,215.745,217.69,212.654,216.76,3558697.0,215.5312
2024-03-20,217.28,221.03,215.53,220.45,3386568.0,218.0755
2024-03-21,227.37,229.28,224.76,225.18,4059795.0,226.9498
2024-03-22,224.16,227.1,223.45,225.45,2658907.0,225.0833
2024-03-25,222.25,226.61,221.71,224.57,2283509.0,224.6344
2024-03-26,226.19,226.88,222.83,222.88,4414209.0,224.7861
2024-03-27,225.39,225.76,221.4,225.68,4161724.0,224.01
2024-03-28,225.42,227.0,224.91,225.92,1794250.0,225.8428
2024-04-01,226.06,231.45,226.06,228.3,3000859.0,228.7789
2024-04-02,224.54,225.26,222.4,224.78,2383542.0,223.7996
2024-04-03,222.17,226.9868,222.14,225.41,1860588.0,225.2884
2024-04-04,228.51,229.17,218.56,219.03,3743961.0,222.898
2024-04-05,220.0,223.0,218.5825,221.63,2428251.0,221.2125
2024-04-08,222.94,224.11,221.31,222.2,1866884.0,222.3944
2024-04-09,224.44,225.3,220.755,224.59,3173009.0,223.4985
2024-04-10,220.84,223.425,219.225,220.49,3610492.0,221.1373
2024-04-11,221.88,225.87,220.06,225.47,2455324.0,223.1545
2024-04-12,221.49,221.76,217.64,218.07,3210362.0,219.5207
2024-04-15,221.05,221.86,214.24,215.31,3170838.0,216.8425
2024-04-16,215.4,218.0,214.51,216.94,2452334.0,216.5025
2024-04-17,217.1,217.44,209.9,210.36,4798630.0,212.3842
2024-04-18,208.86,210.23,205.97,206.63,5372719.0,207.578
2024-04-19,204.8,206.12,197.43,198.39,6406611.0,201.1005
2024-04-22,200.44,203.11,198.02,201.66,4493791.0,200.7713
2024-04-23,203.05,206.86,202.5,205.87,3645360.0,205.3529
2024-04-24,211.38,212.5,206.74,208.54,4077580.0,209.2806
2024-04-25,208.04,213.83,206.93,212.41,3902877.0,210.855
2024-04-26,212.15,217.82,211.66,216.9,3812628.0,215.8478
2024-04-29,216.52,218.76,214.97,218.55,3247287.0,217.5929
2024-04-30,217.6,220.0,213.93,213.99,3583507.0,216.4424
2024-05-01,210.01,213.84,205.59,206.76,7023235.0,208.8971
2024-05-02,210.3,212.16,206.52,211.41,3955489.0,210.1185
2024-05-03,215.85,217.41,214.48,216.17,3467130.0,215.9724
2024-05-06,218.01,220.68,217.16,220.66,2441528.0,219.5857
2024-05-07,220.98,221.57,218.71,218.71,2859521.0,220.0942
2024-05-08,216.6,219.13,216.37,218.92,3212177.0,218.0635
2024-05-09,218.93,219.34,217.06,218.1,1874296.0,218.2982
2024-05-10,220.49,222.42,219.27,220.24,3079201.0,220.2692
2024-05-13,221.2,222.08,220.33,220.7,1843208.0,221.2142
2024-05-14,220.53,224.56,220.32,224.37,2149424.0,223.0526
2024-05-15,226.75,230.82,225.5,230.67,3106213.0,228.8682
2024-05-16,230.62,232.44,229.46,229.54,2878408.0,230.8736
2024-05-17,231.0,231.4,226.42,228.24,1806075.0,228.8727
