date,open,high,low,close,volume,vwap
2023-11-27,84.49,84.78,83.84,84.63,12250905.0,84.3266
2023-11-28,84.8,85.43,84.49,84.65,14460898.0,84.9174
2023-11-29,85.18,85.285,83.745,84.02,22633990.0,84.3792
2023-11-30,84.74,85.79,83.57,84.58,29182290.0,84.5908
2023-12-01,84.48,86.025,84.1,85.02,21523970.0,85.2969
2023-12-04,84.4,85.16,84.01,84.63,18535141.0,84.6399
2023-12-05,84.58,84.74,83.1,83.15,18873576.0,83.7648
2023-12-06,82.61,83.19,81.59,81.91,31153298.0,82.2218
2023-12-07,82.29,82.695,81.055,81.35,20454412.0,81.6235
2023-12-08,81.89,82.48,81.725,82.23,17063628.0,82.1051
2023-12-11,82.3,82.6,81.92,82.33,14672064.0,82.3228
2023-12-12,81.57,81.66,80.74,81.2,22693343.0,81.2312
2023-12-13,81.25,82.355,80.87,82.33,23222819.0,81.664
2023-12-14,83.16,84.86,83.16,84.75,30358689.0,84.3391
2023-12-15,83.99,84.46,83.6,84.3,23183183.0,84.0735
2023-12-18,84.98,85.41,84.1,84.18,21223566.0,84.706
2023-12-19,84.34,85.28,84.15,85.19,18431226.0,84.8489
2023-12-20,85.49,85.99,84.3,84.4,19909087.0,85.294
2023-12-21,84.57,84.86,83.935,84.73,13031439.0,84.4663
2023-12-22,85.34,85.715,84.845,84.98,12519124.0,85.2596
2023-12-26,85.7,86.165,85.44,85.71,12991727.0,85.8638
2023-12-27,85.71,86.0,85.02,85.33,10119096.0,85.4259
2023-12-28,84.89,85.215,84.0,84.03,13099049.0,84.5136
2023-12-29,84.32,84.4,83.59,83.84,12172730.0,83.8614
2024-01-02,84.43,85.52,84.31,84.74,19650895.0,84.8977
2024-01-03,84.87,86.425,84.44,86.12,18967999.0,85.7691
2024-01-04,86.74,87.11,84.56,84.61,21024516.0,85.4455
2024-01-05,85.42,85.46,84.2882,84.68,17014649.0,84.788
2024-01-08,83.24,83.8,82.1025,83.7,23609342.0,83.001
2024-01-09,83.81,83.9,82.175,82.36,16875228.0,82.5708
2024-01-10,82.52,82.5505,81.22,81.55,16579879.0,81.6239
2024-01-11,81.99,82.2,81.43,81.76,19294285.0,81.797
2024-01-12,83.02,83.345,82.18,82.68,19384595.0,82.5417
2024-01-16,82.5,82.61,80.66,80.71,18015626.0,81.2229
2024-01-17,79.88,80.84,79.7,80.04,19642135.0,80.1669
2024-01-18,80.06,80.13,78.9823,79.91,17852797.0,79.6267
2024-01-19,79.87,80.18,79.59,80.17,19970105.0,79.9099
2024-01-22,80.0,80.645,79.48,80.47,15068363.0,80.2273
2024-01-23,80.34,81.29,80.22,80.64,12354612.0,80.7036
2024-01-24,81.06,81.83,80.68,81.79,16920485.0,81.4254
2024-01-25,82.37,83.66,81.88,83.63,18804724.0,82.7715
2024-01-26,83.54,84.28,82.925,84.25,18234763.0,83.7177
2024-01-29,84.12,84.25,83.25,84.13,14840315.0,83.7153
2024-01-30,83.3,85.02,82.98,85.0,17670559.0,84.2686
2024-01-31,85.0,85.16,83.37,83.41,19290372.0,84.0563
2024-02-01,83.91,84.3,82.63,83.4,25550688.0,83.4486
2024-02-02,84.1,84.18,82.82,83.52,19037512.0,83.6812
2024-02-05,83.01,83.805,82.405,83.31,15796807.0,83.1805
2024-02-06,83.72,84.4,83.23,83.58,14028149.0,83.7938
2024-02-07,83.82,84.175,83.07,83.75,13460228.0,83.5766
2024-02-08,83.7,84.92,83.68,84.61,18100539.0,84.3831
2024-02-09,84.77,85.13,83.22,83.31,19036669.0,83.805
2024-02-12,83.6,84.47,83.6,84.23,12946927.0,84.1476
2024-02-13,84.31,84.6,82.835,83.38,20578407.0,83.4952
2024-02-14,83.99,84.245,82.86,83.3,20447286.0,83.351
2024-02-15,83.28,85.856,83.21,85.62,21682213.0,85.0947
2024-02-16,85.97,86.2499,85.32,85.57,13480383.0,85.8377
2024-02-20,85.66,85.71,84.68,84.79,14497788.0,85.1077
2024-02-21,85.15,86.46,85.09,86.38,14378315.0,86.0558
2024-02-22,85.83,86.89,85.42,86.53,17603416.0,86.282
2024-02-23,85.69,86.235,85.14,85.96,14476197.0,85.8011
2024-02-26,85.86,86.825,85.43,86.26,11688172.0,86.3359
2024-02-27,86.34,86.71,85.45,85.89,13158684.0,85.9459
2024-02-28,86.0,86.65,85.38,85.72,13339812.0,85.8365
2024-02-29,85.9,86.42,85.655,86.14,13667657.0,86.107
2024-03-01,86.76,87.54,86.61,87.14,16229844.0,87.1332
2024-03-04,87.09,87.32,86.125,86.21,16599023.0,86.4849
2024-03-05,86.08,87.41,85.97,86.85,16087126.0,86.9508
2024-03-06,87.58,88.04,86.93,87.12,14004382.0,87.3784
2024-03-07,87.24,88.35,87.17,87.86,12284598.0,87.9214
2024-03-08,87.74,88.19,87.52,88.17,14125993.0,87.9205
2024-03-11,88.19,89.11,87.53,89.08,12491860.0,88.4834
2024-03-12,89.07,89.315,88.465,88.94,11890452.0,88.9839
2024-03-13,89.87,90.85,89.72,90.36,21362595.0,90.3948
2024-03-14,90.72,91.33,90.37,91.29,17973014.0,90.939
2024-03-15,91.22,92.22,91.01,91.56,18876683.0,91.6215
2024-03-18,91.19,91.46,90.43,91.14,15248355.0,91.1167
2024-03-19,91.13,92.2496,91.07,92.18,14272893.0,91.9559
2024-03-20,91.65,92.38,91.51,92.05,16329668.0,91.9351
2024-03-21,92.21,92.79,91.92,92.6,11667097.0,92.5225
2024-03-22,92.64,92.87,92.1735,92.4,8974404.0,92.385
2024-03-25,92.72,93.88,92.7,93.26,17537190.0,93.3332
2024-03-26,93.35,93.56,92.36,92.54,17686925.0,92.7488
2024-03-27,92.34,93.42,92.18,93.4,16980041.0,92.9203
2024-03-28,93.95,94.58,93.4957,94.41,17307570.0,94.1777
2024-04-01,94.69,95.39,93.7563,95.11,21449514.0,94.9706
2024-04-02,95.52,96.54,95.1,96.44,19335599.0,95.9267
2024-04-03,96.8,97.2302,96.4849,97.1,14574431.0,96.9677
2024-04-04,97.25,97.595,96.66,97.04,18470645.0,97.1802
2024-04-05,97.44,98.4667,96.85,98.08,15597269.0,97.8501
2024-04-08,98.13,98.41,97.285,97.46,17017279.0,97.78
2024-04-09,97.88,98.14,96.78,97.49,17666552.0,97.3133
2024-04-10,97.22,98.15,96.8,97.79,19599825.0,97.5774
2024-04-11,98.1,98.14,96.335,97.72,19602346.0,97.2683
2024-04-12,98.34,98.97,95.67,96.13,23286215.0,97.1117
2024-04-15,96.59,97.05,95.11,95.23,24345363.0,95.9962
2024-04-16,95.05,95.49,93.73,94.4,18248809.0,94.3851
2024-04-17,94.2,95.14,93.46,94.13,13710457.0,94.3394
2024-04-18,94.45,94.72,93.51,93.84,12777824.0,94.0874
2024-04-19,94.02,95.61,93.88,94.97,17725720.0,94.9792
2024-04-22,94.47,96.24,93.72,95.59,15122166.0,95.3485
2024-04-23,95.15,96.12,94.69,96.12,14328745.0,95.6955
2024-04-24,95.52,96.3,95.06,96.19,10651892.0,95.8625
2024-04-25,96.08,96.92,95.25,96.63,13250097.0,96.2475
2024-04-26,95.76,96.115,94.76,95.74,16183299.0,95.4418
2024-04-29,95.46,96.6,95.4,96.39,11118164.0,96.1523
2024-04-30,96.0,96.165,93.475,93.52,17699467.0,94.4741
2024-05-01,93.39,93.69,91.53,92.03,25471850.0,92.3839
2024-05-02,92.65,93.19,92.12,92.56,17308397.0,92.647
