date,open,high,low,close,volume,vwap
2023-11-27,47.8,48.53,47.652,48.242,395661900.0,48.1839
2023-11-28,48.236,48.3229,47.473,47.821,401490850.0,47.8173
2023-11-29,48.379,48.762,47.86,48.14,382004650.0,48.241
2023-11-30,48.024,48.11,46.422,46.77,526246630.0,46.9674
2023-12-01,46.525,47.2,46.187,46.765,369317010.0,46.7447
2023-12-04,46.077,46.077,45.01,45.51,437543440.0,45.4364
2023-12-05,45.466,46.6,45.271,46.566,371717620.0,46.1555
2023-12-06,47.2145,47.387,45.412,45.503,380589550.0,46.2359
2023-12-07,45.7,46.629,45.604,46.596,350822550.0,46.2735
2023-12-08,46.595,47.7409,46.55,47.506,359223700.0,47.3927
2023-12-11,47.491,47.531,45.83,46.627,509728090.0,46.5326
2023-12-12,46.046,47.666,46.046,47.657,372386860.0,47.1444
2023-12-13,47.629,48.594,47.608,48.088,447791860.0,48.1782
2023-12-14,48.39,48.67,47.422,48.35,391231740.0,48.1291
2023-12-15,48.194,49.404,48.12,48.89,479947580.0,48.9407
2023-12-18,49.4,50.433,49.15,50.077,412587170.0,49.8976
2023-12-19,49.424,49.7,48.895,49.604,464444460.0,49.3148
2023-12-20,49.655,49.999,48.098,48.111,397894390.0,49.1798
2023-12-21,48.811,49.095,48.419,48.99,300425350.0,48.7442
2023-12-22,49.195,49.383,48.467,48.83,252506760.0,48.9787
2023-12-26,48.968,49.6,48.96,49.279,244199520.0,49.3568
2023-12-27,49.511,49.68,49.085,49.417,233647980.0,49.3587
2023-12-28,49.643,49.884,49.412,49.522,246587480.0,49.6423
2023-12-29,49.813,49.997,48.751,49.522,389293300.0,49.5198
2024-01-02,49.244,49.295,47.595,48.168,411254220.0,48.0662
2024-01-03,47.485,48.1841,47.32,47.569,320896170.0,47.6677
2024-01-04,47.767,48.5,47.508,47.998,306534890.0,48.0897
2024-01-05,48.462,49.547,48.306,49.097,415039270.0,49.0195
2024-01-08,49.512,52.275,49.479,52.253,642509900.0,51.3375
2024-01-09,52.401,54.325,51.69,53.14,773100060.0,53.1156
2024-01-10,53.616,54.6,53.489,54.35,533795760.0,54.1639
2024-01-11,54.999,55.346,53.56,54.822,596758770.0,54.5997
2024-01-12,54.62,54.97,54.3301,54.71,352993600.0,54.6707
2024-01-16,55.018,56.835,54.9,56.382,449579730.0,56.1219
2024-01-17,56.347,56.4707,54.74,56.053,474394440.0,55.6716
2024-01-18,57.26,57.6,56.107,57.107,491650360.0,57.0793
2024-01-19,57.989,59.5,57.225,59.491,543501480.0,58.5409
2024-01-22,60.049,60.331,59.07,59.654,452954630.0,59.7767
2024-01-23,59.57,59.91,58.585,59.873,294654450.0,59.4725
2024-01-24,60.304,62.849,59.938,61.362,560270760.0,61.7176
2024-01-25,62.35,62.719,60.85,61.617,482776840.0,61.9052
2024-01-26,60.96,61.783,60.573,61.031,390308590.0,61.1516
2024-01-29,61.232,62.489,60.907,62.465,348732980.0,61.8645
2024-01-30,62.9,63.493,62.26,62.774,410735300.0,62.8595
2024-01-31,61.44,62.269,60.7,61.527,453794870.0,61.5108
2024-02-01,62.1,63.191,61.65,63.027,369145790.0,62.4717
2024-02-02,63.974,66.6,63.69,66.16,476577650.0,65.6028
2024-02-05,68.225,69.497,67.205,69.332,680078010.0,68.6607
2024-02-06,69.63,69.754,66.3,68.223,683111360.0,67.8474
2024-02-07,68.319,70.22,67.6,70.099,495574550.0,69.2666
2024-02-08,70.074,70.794,69.455,69.641,414422110.0,70.0906
2024-02-09,70.533,72.185,70.212,72.133,436636890.0,71.4565
2024-02-12,72.6,74.611,71.25,72.248,613710180.0,72.881
2024-02-13,70.4,73.45,69.62,72.128,602580150.0,71.967
2024-02-14,73.202,74.236,71.938,73.9,504917420.0,73.2461
2024-02-15,73.869,73.975,72.4,72.658,420121810.0,73.0294
2024-02-16,74.1,74.402,72.501,72.613,495326620.0,73.4282
2024-02-20,71.947,71.956,67.734,69.452,704833100.0,69.0538
2024-02-21,68.006,68.888,66.248,67.472,690298130.0,68.351
2024-02-22,75.025,78.575,74.22,78.538,865099740.0,77.2824
2024-02-23,80.79,82.394,77.57,78.817,829388370.0,79.8955
2024-02-26,79.7,80.646,78.505,79.092,503972730.0,79.5584
2024-02-27,79.381,79.48,77.162,78.701,391705240.0,78.7656
2024-02-28,77.62,78.933,77.125,77.663,393110400.0,77.9578
2024-02-29,79.094,79.99,78.35,79.112,507288980.0,79.2564
2024-03-01,80.0,82.3,79.435,82.279,479135100.0,81.3682
2024-03-04,84.13,87.695,83.719,85.237,615616450.0,85.7211
2024-03-05,85.27,86.097,83.417,85.964,520639300.0,84.9834
2024-03-06,88.022,89.724,87.03,88.7,582520300.0,88.4523
2024-03-07,90.158,92.767,89.602,92.669,608119160.0,91.6171
2024-03-08,95.1379,97.4,86.506,87.528,1142269060.0,91.0655
2024-03-11,86.429,88.797,84.166,85.774,678364120.0,86.6503
2024-03-12,88.049,91.96,86.1501,91.913,668075150.0,89.7153
2024-03-13,91.055,91.504,88.435,90.888,635712890.0,89.9592
2024-03-14,89.577,90.646,86.6,87.944,602318160.0,88.0826
2024-03-15,86.93,89.546,86.257,87.8365,642086160.0,88.241
2024-03-18,90.388,92.405,87.085,88.455,668975930.0,89.3456
2024-03-19,86.7,90.544,85.01,89.398,672171270.0,87.8605
2024-03-20,89.797,90.41,88.223,90.372,479062790.0,89.3828
2024-03-21,92.3,92.648,90.405,91.435,480372310.0,91.6443
2024-03-22,91.141,94.778,90.834,94.289,586719360.0,93.5181
2024-03-25,93.941,96.766,93.51,95.002,552136080.0,95.4481
2024-03-26,95.851,96.375,92.502,92.561,513647580.0,94.4526
2024-03-27,93.112,93.24,89.123,90.25,586067230.0,90.3244
2024-03-28,90.0,91.3,89.193,90.356,435212270.0,90.5004
2024-04-01,90.299,92.225,89.204,90.363,452441490.0,90.5143
2024-04-02,88.448,90.094,87.62,89.452,433063550.0,88.9609
2024-04-03,88.484,90.374,88.4,88.964,370066550.0,89.5453
2024-04-04,90.406,90.634,85.88,85.905,434964920.0,88.3499
2024-04-05,86.866,88.481,85.926,88.008,399678460.0,87.5842
2024-04-08,88.7,88.83,86.732,87.133,283220000.0,87.4278
2024-04-09,87.442,87.635,83.022,85.354,503547350.0,84.8175
2024-04-10,83.926,87.4,83.709,87.039,431928530.0,86.3739
2024-04-11,87.42,90.739,86.926,90.616,431637270.0,89.0982
2024-04-12,89.699,90.175,87.53,88.186,426804790.0,88.7371
2024-04-15,89.098,90.613,85.929,86.001,443076950.0,88.1206
2024-04-16,86.4325,88.118,86.0639,87.415,370453020.0,87.2648
2024-04-17,88.34,88.775,83.95,84.035,495399510.0,85.6896
2024-04-18,84.97,86.19,82.402,84.671,447260340.0,84.7627
